home_club_name,away_club_name,game_id,date,season,home_club_id,away_club_id,home_club_position,away_club_position,results,Difference value home et away,Ratio value home par away,home_team_value,away_team_value,LOG Ratio value home par away,difference classement,winrate_home 1 ans,winrate_away 1 ans,difference winrate home-away 1 ans,winrate_home 2 ans,winrate_away 2 ans,difference winrate home-away 2 ans,winrate_home 3 ans,winrate_away 3 ans,difference winrate home-away 3 ans,evolution difference winrate home-away entre 3 et 1 ans,winrate_confrontation_home 1 ans,winrate_confrontation_home 2 ans,winrate_confrontation_home 3 ans,pos_moy_home_1_ans,pos_moy_away_1_ans,difference classement moyen home-away 1 ans,pos_moy_home_2_ans,pos_moy_away_2_ans,difference classement moyen home-away 2 ans,pos_moy_home_3_ans,pos_moy_away_3_ans,difference classement moyen home-away 3 ans,evolution classement home 3 et 1 ans,evolution classement away 3 et 1 ans,evolution difference classement entre équipes entre 3 et 1 ans,nouveau club home 1 ans,nouveau club away 1 ans,nouveau club home 3 ans,nouveau club away 3 ans,diffbut_moy_home_1_ans,diffbut_moy_away_1_ans,difference de buts moyenne home-away 1 ans,diffbut_moy_home_2_ans,diffbut_moy_away_2_ans,difference de buts moyenne home-away 2 ans,diffbut_moy_home_3_ans,diffbut_moy_away_3_ans,difference de buts moyenne home-away 3 ans,evolution difference de buts home 3 et 1 ans,evolution difference de buts away 3 et 1 ans,evolution difference de buts entre équipes entre 3 et 1 ans,diffbut_moy_confrontation_1_ans,diffbut_moy_confrontation_2_ans,diffbut_moy_confrontation_3_ans
FC Girondins Bordeaux,AC Ajaccio,2223851,2012-09-23,2012,40,1147,6.0,13.0,0.0,0.0,1.0,22000000.0,22000000.0,0.0,-7.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valenciennes FC,FC Girondins Bordeaux,2223852,2012-09-15,2012,1423,40,6.0,5.0,0.0,0.0,1.0,22000000.0,22000000.0,0.0,1.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paris Saint-Germain Football Club,Toulouse Football Club,2223853,2012-09-14,2012,583,415,4.0,7.0,1.0,0.0,1.0,22000000.0,22000000.0,0.0,-3.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olympique Lyonnais,AC Ajaccio,2223854,2012-09-16,2012,1041,1147,2.0,14.0,1.0,0.0,1.0,22000000.0,22000000.0,0.0,-12.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stade de Reims,Montpellier Hérault Sport Club,2223855,2012-09-14,2012,1421,969,8.0,16.0,1.0,0.0,1.0,22000000.0,22000000.0,0.0,-8.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montpellier Hérault Sport Club,Thonon Évian Grand Genève FC,2223856,2012-10-06,2012,969,14171,16.0,17.0,-1.0,0.0,1.0,22000000.0,22000000.0,0.0,-1.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stade Rennais Football Club,Football Club Lorient-Bretagne Sud,2223857,2012-09-16,2012,273,1158,18.0,3.0,-1.0,0.0,1.0,22000000.0,22000000.0,0.0,15.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olympique de Marseille,Paris Saint-Germain Football Club,2223858,2012-10-07,2012,244,583,1.0,2.0,0.0,0.0,1.0,22000000.0,22000000.0,0.0,-1.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lille Olympique Sporting Club Lille Métropole,AC Ajaccio,2223859,2012-10-06,2012,1082,1147,10.0,14.0,1.0,0.0,1.0,22000000.0,22000000.0,0.0,-4.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC Sochaux-Montbéliard,Stade Rennais Football Club,2223860,2012-10-06,2012,750,273,18.0,11.0,-1.0,0.0,1.0,22000000.0,22000000.0,0.0,7.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
