iter	MultiClass	F1:class=0	F1:class=1	F1:class=2
0	1.090500232	0.503875969	0	0.6204595997
1	1.082639371	0.4819129368	0	0.6362687087
2	1.075818445	0.4787442773	0.02886002886	0.643872715
3	1.070200968	0.4774535809	0	0.6464106845
4	1.065094199	0.4794252123	0	0.6411032627
5	1.059930426	0.4813863928	0	0.6401900883
6	1.056265539	0.4819121447	0	0.6427604871
7	1.052557541	0.4829396325	0	0.6456375839
8	1.049000204	0.4722222222	0	0.6430481283
9	1.045499652	0.4734111543	0	0.6421336935
10	1.042362064	0.4728682171	0	0.6393775372
11	1.038902091	0.4705882353	0	0.6411903957
12	1.0358562	0.4737864078	0	0.6427847246
13	1.033237486	0.4754420432	0	0.6436009405
14	1.030829051	0.4722222222	0	0.6423796791
15	1.028537785	0.4760655738	0	0.6411547499
16	1.026118336	0.4791122715	0	0.6419919246
17	1.02412968	0.4802076574	0	0.6425919676
18	1.022671272	0.4792746114	0	0.6412162162
19	1.020846512	0.4764971024	0	0.6411385971
20	1.019239477	0.4785118666	0	0.6404074703
21	1.018013209	0.4809308339	0	0.6438958404
22	1.016740551	0.479791395	0	0.6444444444
23	1.015332	0.4786885246	0	0.6424974824
24	1.013881752	0.475	0	0.6414209115
25	1.012770332	0.4718356528	0	0.641736227
26	1.011439428	0.4714475432	0	0.6404269513
27	1.010237243	0.4718356528	0	0.6410684474
28	1.009212931	0.4703530979	0	0.6426906427
29	1.007908799	0.4727755644	0	0.6417611741
30	1.006891838	0.4750499002	0	0.6424525158
31	1.005919987	0.4747340426	0	0.6433333333
32	1.005010008	0.4768211921	0	0.6439545758
33	1.004208158	0.4807436919	0	0.646430954
34	1.003341438	0.4763805722	0	0.6471176275
35	1.002283071	0.4773333333	0	0.6464713715
36	1.001522843	0.4780292943	0	0.6449033977
37	1.000677239	0.4793608522	0	0.6462358428
38	0.9998865866	0.4780292943	0	0.6469020653
39	0.999223329	0.4797342193	0	0.6475491831
40	0.9987516689	0.4813829787	0	0.6473333333
41	0.9976727284	0.482712766	0	0.6473333333
42	0.9970095286	0.482712766	0	0.6473333333
43	0.996346977	0.4830339321	0	0.6471176275
44	0.9955758386	0.4802675585	0	0.6480558325
45	0.9950495615	0.4786666667	0	0.6458055925
46	0.9944292164	0.4833997344	0	0.6477651768
47	0.9937713685	0.4841269841	0	0.6470588235
